model,input,class,decision threshold,ground truth (id),predicted (id),precision (id),recall (id),f1 (id),auroc (id),ap (id),accuracy (id),ground truth (cd),predicted (cd),precision (cd),recall (cd),f1 (cd),auroc (cd),ap (cd),accuracy (cd)
swin,s-ms,Qaf,0.07454671,13,38,0.1052631578947368,0.3076923076923077,0.1568627450980392,0.850800545482095,0.1815384541455247,0.9720052083333334,6,5,0.0,0.0,0.0,0.7230936819172114,0.0098133833852221,0.9928385416666666
swin,s-ms,Qat,0.10104292,61,198,0.2373737373737373,0.7704918032786885,0.3629343629343629,0.9181217004723534,0.2890113344849385,0.892578125,77,118,0.1610169491525423,0.2467532467532467,0.1948717948717948,0.7116776301149158,0.1145956296004185,0.8977864583333334
swin,s-ms,Qc,0.39124525,749,755,0.9112582781456954,0.918558077436582,0.9148936170212766,0.9771673540154344,0.9786787322085132,0.9166666666666666,456,569,0.7574692442882249,0.9451754385964912,0.8409756097560975,0.980896686159844,0.9630899218514428,0.8938802083333334
swin,s-ms,Qca,0.48106945,432,429,0.8065268065268065,0.8009259259259259,0.8037166085946573,0.9502482555018786,0.8992497977141144,0.8899739583333334,249,314,0.6815286624203821,0.8594377510040161,0.7602131438721137,0.9641050604906028,0.8243168276416994,0.912109375
swin,s-ms,Qr,0.3142782,1433,1497,0.9478957915831664,0.9902302861130496,0.9686006825938568,0.9044912228402632,0.992155045642962,0.9401041666666666,1511,1536,0.9837239583333334,1.0,0.9917952084017068,0.8956187954996692,0.9980668416019308,0.9837239583333334
swin,sds-ms,af1,0.275403,571,740,0.6148648648648649,0.7968476357267951,0.6941266209000763,0.8238269375606834,0.7614952104743742,0.7389322916666666,435,719,0.502086230876217,0.8298850574712644,0.6256499133448874,0.8243352438222304,0.6412125604341029,0.71875
swin,sds-ms,Qal,0.26772016,950,1342,0.6713859910581222,0.9484210526315788,0.7862129144851658,0.763335728399497,0.8418106250827324,0.6809895833333334,845,1465,0.5549488054607509,0.9621301775147928,0.7038961038961039,0.6126426840442203,0.6827429472460148,0.5546875
swin,sds-ms,Qaf,0.07540625,13,17,0.1764705882352941,0.2307692307692307,0.2,0.8174655285620486,0.0818906457941832,0.984375,6,8,0.0,0.0,0.0,0.6737472766884531,0.0094756054766233,0.9908854166666666
swin,sds-ms,Qat,0.11752378,61,199,0.2060301507537688,0.6721311475409836,0.3153846153846154,0.8595498749652681,0.2788803680895536,0.8841145833333334,77,166,0.1927710843373494,0.4155844155844156,0.2633744855967078,0.7383459583596663,0.1743192766439453,0.8834635416666666
swin,sds-ms,Qc,0.5739679,749,723,0.921161825726141,0.8891855807743658,0.904891304347826,0.9754573230211226,0.9759124556827918,0.9088541666666666,456,536,0.7910447761194029,0.9298245614035088,0.8548387096774194,0.9786570012995452,0.959357677417196,0.90625
swin,sds-ms,Qca,0.55335426,432,382,0.774869109947644,0.6851851851851852,0.7272727272727273,0.9070404757112184,0.8297690839234243,0.85546875,249,350,0.5771428571428572,0.8112449799196787,0.674457429048414,0.9198347391118477,0.6419885167266489,0.873046875
swin,sds-ms,Qr,0.08780682,1433,1523,0.937623112278398,0.9965108164689462,0.96617050067659,0.9047012513634916,0.9924611511077228,0.9348958333333334,1511,1536,0.9837239583333334,1.0,0.9917952084017068,0.814824619457313,0.9963339780028037,0.9837239583333334
vit,ep-ms,af1,0.36337242,571,624,0.5801282051282052,0.6339754816112084,0.605857740585774,0.7365561736068891,0.6480569017098545,0.693359375,435,767,0.3924380704041721,0.6919540229885057,0.5008319467554077,0.6863457462912504,0.4678740749314055,0.609375
vit,ep-ms,Qal,0.586422,950,970,0.7804123711340206,0.7968421052631579,0.7885416666666667,0.8000413148913239,0.8698243095452155,0.7356770833333334,845,1188,0.5723905723905723,0.8047337278106509,0.6689621249385145,0.6110636330162101,0.6779707625018973,0.5618489583333334
vit,ep-ms,Qaf,0.120480336,13,38,0.0263157894736842,0.0769230769230769,0.0392156862745098,0.7455427041769787,0.0458045056682146,0.9680989583333334,6,5,0.0,0.0,0.0,0.54640522875817,0.0051543013423859,0.9928385416666666
