Run,Feature,gamma (fixed),gamma (run),MMD2,MMD,p-value
5,EP 21,0.0117028449695147,0.0656513147394421,0.0051324398629456,0.0716410487286836,7.725803488887887e-20
5,EP 51,0.0117028449695147,0.0543877716221026,0.0098814866551005,0.0994056671176273,1.7760841213936304e-36
5,EP 101,0.0117028449695147,0.0499447834527996,0.0084850881619979,0.0921145382770705,1.359802364447556e-31
5,EP 201,0.0117028449695147,0.0486409886403735,0.0040856280972527,0.0639189181483286,3.7373796256244037e-16
5,PlC 5,0.0117028449695147,0.0522667459441961,0.0214862375242349,0.1465818458208074,5.806790283550518e-77
5,PlC 10,0.0117028449695147,0.0590136342197223,0.014248786482923,0.119368280891211,9.946318822080353e-52
5,PlC 20,0.0117028449695147,0.0600756709459722,0.0136773491132404,0.1169501992868779,9.81319265252272e-50
5,PlC 50,0.0117028449695147,0.058092987229023,0.0062945396334308,0.0793381347992932,6.4189664595225635e-24
5,PlC 100,0.0117028449695147,0.0698619704644722,0.0010139364449935,0.031842368708901,3.323907383315523e-05
5,PlC 200,0.0117028449695147,0.0698565762355234,-4.217606448886916e-05,,0.5685093933245831
5,PrC 5,0.0117028449695147,0.0581786642220132,0.0017509491796684,0.0418443446557409,7.18130951907111e-08
5,PrC10,0.0117028449695147,0.0526965790058103,0.0028080268580527,0.05299081862033,1.2265300773010014e-11
5,PrC20,0.0117028449695147,0.0527115475164513,0.0028838778860713,0.0537017493762663,6.602403577102874e-12
5,PrC50,0.0117028449695147,0.0599654107948189,0.0019534491106659,0.0441978405656421,1.3519577734143125e-08
5,PrC100,0.0117028449695147,0.0557342180614212,0.0017212009124234,0.0414873584652419,9.181986564627007e-08
5,PrC200,0.0117028449695147,0.0561347740598578,0.0015341550798642,0.0391682917659717,4.318528898900952e-07
5,S 5,0.0117028449695147,0.0904352388163704,0.0006742553865975,0.0259664280677478,0.0005961098611111
5,S 10,0.0117028449695147,0.0963657617549361,0.0009703522330251,0.0311504772519644,4.7996739585150534e-05
5,S 20,0.0117028449695147,0.1036342588763363,0.0013278539929509,0.0364397309670492,2.398999272805897e-06
5,S 50,0.0117028449695147,0.128866419244123,0.0025211241510199,0.050210797155791,1.2805605143458386e-10
5,S 100,0.0117028449695147,0.1470272359894992,0.0038909992719151,0.0623778748589204,1.8151499441494738e-15
5,S 200,0.0117028449695147,0.1514242040228665,0.0060766216928839,0.0779526888111242,3.7326685100902067e-23
5,SDS 5,0.0117028449695147,0.0697531515498855,0.0007592676667877,0.027554812044138,0.0002877828860907
5,SDS 11,0.0117028449695147,0.0700666559311002,0.0005051766179707,0.0224761344089845,0.0025802103840737
5,SDS 21,0.0117028449695147,0.0695641234251714,0.0006038290051161,0.0245729323670617,0.0010940259923915
5,SDS 51,0.0117028449695147,0.0722057760443754,0.0008363617079128,0.0289199188780474,0.0001492387876109
5,SDS 101,0.0117028449695147,0.077759981305028,0.00123380746311,0.0351255955552365,5.258031797706297e-06
5,SDS 201,0.0117028449695147,0.0850371798206862,0.0021528436194964,0.0463987458827975,2.6228793425538526e-09
5,EP ms,0.0117028449695147,0.0082502647744331,0.0095240781621366,0.0975913836470035,3.1555685940707324e-35
5,PlC ms,0.0117028449695147,0.0076247874307883,0.0128743668103712,0.1134652669779227,6.231795299273989e-47
5,PrC ms,0.0117028449695147,0.0077622426377403,0.0055821619328226,0.0747138670718005,2.031489308447009e-21
5,S ms,0.0117028449695147,0.0165975666737382,0.0034637840351287,0.058853921153384,5.851576701423078e-14
5,SDS ms,0.0117028449695147,0.0114577068578106,0.0012395215109613,0.0352068389799669,5.012920217188675e-06
6,DEM,0.0117028449695147,0.0714780588316867,0.0801570994651311,0.2831202915107484,4.3248098029349073e-281
6,RGB,0.0117028449695147,0.0216391500417491,0.016931680977796,0.1301217928626717,4.3582784495780455e-61
6,RGB+NIR,0.0117028449695147,0.0133304473487234,0.0424869199410085,0.2061235550367996,4.4975017284955166e-150
6,NHD,0.0117028449695147,0.0157218749999997,0.0011907691411921,0.0345075229651764,7.5352604691695965e-06
6,OSM,0.0117028449695147,0.001743875,0.0004065709474375,0.0201636045249255,0.0061523323323002
6,EP 5,0.0117028449695147,0.1138919824782641,0.0021728508578676,0.0466138483486144,2.225412676953247e-09
6,EP 11,0.0117028449695147,0.1093102304722937,0.0014544187464056,0.038136842375918,8.370267465967432e-07
6,EP 21,0.0117028449695147,0.0833352893549601,0.004239835510097,0.0651140193053469,1.0692729590585595e-16
6,EP 51,0.0117028449695147,0.061570692252371,0.0093121680033436,0.096499575145923,1.738284257784591e-34
6,EP 101,0.0117028449695147,0.0520062202521537,0.0085213424200216,0.0923111175320807,1.0153352688737368e-31
6,EP 201,0.0117028449695147,0.0491431389323211,0.0039647774279883,0.0629664786055907,9.96971900697168e-16
6,PlC 5,0.0117028449695147,0.0525466182563119,0.0224138846719566,0.1497126737185488,3.402975277200674e-80
6,PlC 10,0.0117028449695147,0.0607005109594863,0.0119763547035907,0.109436532764844,8.513262871572362e-44
6,PlC 20,0.0117028449695147,0.0600760794170675,0.0114598775489137,0.1070508176003985,5.4193166263332545e-42
6,PlC 50,0.0117028449695147,0.0586430216531824,0.0065949771052437,0.0812094643821996,5.672768608212534e-25
6,PlC 100,0.0117028449695147,0.078766916547053,0.0008755904822198,0.0295903782033935,0.0001069742822407
