encoder,fusion,input,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
vit_b_16,ca,dem+s-ms,0.6208074412515366,0.6771495810092258,0.6454288402585975,0.9001543567031537,0.6969753798405186,0.8733258928571429,0.4944440234357383,0.6540913570827346,0.5495465481531111,0.733556649944257,0.579927249772231,0.8462611607142857
resnext50_32x4d,ca,ep-ms+prc-ms,0.5490891897842011,0.73760675480187,0.6051575684160013,0.8358745306290825,0.6454712490889143,0.8213355654761905,0.5081591454888605,0.6511368799587408,0.561993153657629,0.7804316894010815,0.5796975523183854,0.8380766369047619
vit_b_16,ca,ep-ms+prc-ms,0.6235098426670029,0.7112900404430081,0.6605656715497313,0.8962562020470661,0.6989466506980909,0.8737909226190477,0.5120634164220733,0.650964784746586,0.5663515447498522,0.791581899760789,0.6070790868634235,0.8539806547619048
resnext50_32x4d,ca,ep-ms+prc-ms+s-ms,0.5592848640642576,0.6730504061320722,0.6049177302508942,0.8470830755491995,0.6573630429776133,0.8351934523809523,0.5444031074000047,0.6526413737589988,0.5754539438221827,0.8042897782739883,0.6271652019097129,0.8388206845238095
vit_b_16,ca,ep-ms+prc-ms+s-ms,0.6267849242520231,0.7464954660844632,0.6707701593307257,0.9086270337418396,0.708879438408453,0.8747209821428571,0.4964473790985165,0.6592739083712199,0.5593788541936727,0.7815167061134998,0.5965078356296976,0.8494233630952381
resnext50_32x4d,ca,ep-ms+s-ms,0.5537624142159484,0.7404394122217485,0.612901339966157,0.8369688314141842,0.6418032484082135,0.8298921130952381,0.4938640128721001,0.6996755110013922,0.5642915935628884,0.7941066370444083,0.5963078372423934,0.8318452380952381
vit_b_16,ca,ep-ms+s-ms,0.6379545253055257,0.6842073153935896,0.6584183515019434,0.8859935133061511,0.6943389923459847,0.8756510416666666,0.5235719464585059,0.6462253530812863,0.5689211752721919,0.8163816243401911,0.6132538283138412,0.8711867559523809
resnext50_32x4d,ca,ep-ms+s-ms+sds-ms,0.5716291677140822,0.6631675096522438,0.6064607956767815,0.8502425291276455,0.6505093471324662,0.8469122023809523,0.5557470545626801,0.6793863059759256,0.6020940385515778,0.8206143614448488,0.6344042748223718,0.8565848214285714
vit_b_16,ca,ep-ms+s-ms+sds-ms,0.6333428005622083,0.719385369625547,0.6695452619387666,0.9051778412870242,0.7135496840215572,0.8765811011904762,0.5346075059789752,0.6952055548698296,0.5981355262280296,0.8161844244392755,0.6144087251703602,0.8521205357142857
resnext50_32x4d,ca,nhd+osm+rgb+s-ms,0.5409364334823825,0.714781953928578,0.6020589774633969,0.8061622520593456,0.6302546943794939,0.8236607142857143,0.4730523251937425,0.6605715450148006,0.5429678422511957,0.7444603305216896,0.577558131166084,0.8219866071428571
vit_b_16,ca,nhd+osm+rgb+s-ms,0.6432176289146125,0.6806822435480743,0.6595388859015957,0.888219008198843,0.6983016754306306,0.8803013392857143,0.5609128970768181,0.5048034405465556,0.5095216289331572,0.7769503737081372,0.5428046574885494,0.8275669642857143
resnext50_32x4d,ca,prc-ms+s-ms,0.581701823570282,0.7167893628678961,0.6324428649055859,0.8627466341854397,0.6650140573822677,0.8523065476190477,0.4893726014304267,0.6679322121568528,0.5585997663050717,0.8097291045592792,0.5936106510799817,0.8411458333333334
vit_b_16,ca,prc-ms+s-ms,0.6164465702614671,0.7730778592317022,0.6578047407204325,0.8933565075487833,0.6978770537327088,0.8674665178571429,0.5189903149334281,0.6434799456928018,0.5705575360271294,0.7841294584365018,0.5937794010546282,0.8577938988095238
