input,exp_type,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
s-50,single_sa,0.5825118710402285,0.7001818095345504,0.6288401470720181,0.8580034645013435,0.6652116767267579,0.8412388392857143,0.4949191078399578,0.6416533636186222,0.5518638823004686,0.7843214980011559,0.5464613840381437,0.8194754464285714
sds-101,single,0.5753163647959031,0.6791082474512212,0.6108258786290083,0.8538662706876511,0.6557374451543554,0.8441220238095238,0.48121343896393,0.6608147449014353,0.5510365063957774,0.7246547479705238,0.5643885243655934,0.8280319940476191
sds-101,single_sa,0.5820919109152554,0.6865721023246597,0.6128525526266465,0.8515979116951506,0.6586126037109701,0.8468191964285714,0.4829420116525016,0.713261757728511,0.5580637762348554,0.7751372814484719,0.5608339335758272,0.8187313988095238
sds-11,single,0.5871579682823805,0.6839044128858998,0.6248897307950838,0.8448889499584784,0.65580320217412,0.8540736607142857,0.4926866527515708,0.6916704698356932,0.5662750180900092,0.7655380574832421,0.5904860523983712,0.8334263392857143
sds-11,single_sa,0.6210691638922744,0.7074420051335794,0.6558971368110552,0.8720776685582595,0.6857126189490439,0.8579799107142857,0.4987810272718848,0.722316582573675,0.5818828457485697,0.8217238102576053,0.6220371964620258,0.8384486607142857
sds-201,single,0.5653920177656423,0.7035423226382541,0.6174559014086906,0.8484081313564403,0.6566251464585341,0.8383556547619048,0.4894644375868925,0.7243293603826222,0.5737165987123107,0.7465928726027252,0.5991479859186247,0.8171502976190477
sds-201,single_sa,0.578079524919273,0.7755675203280569,0.632677806190829,0.8442325781723244,0.6628848483529034,0.8293340773809523,0.4833971527839621,0.691276807662005,0.5594042081286035,0.7231195022959351,0.5659751795658284,0.8108258928571429
sds-21,single,0.556269176608092,0.6600873608524916,0.5995281566138457,0.8491996673849594,0.652266694432729,0.8434709821428571,0.4842310120754128,0.7317025753939325,0.5709366009289949,0.7666776608751439,0.5855530334560809,0.8266369047619048
sds-21,single_sa,0.5972041120872719,0.7339167803218609,0.6453868489679161,0.8768301268958064,0.6698042493816015,0.8543526785714286,0.4694656548187925,0.7226398300793312,0.5547535285063359,0.7868766565348472,0.5937449632071433,0.8156622023809523
sds-5,single,0.5917367148766903,0.6845428631404857,0.6316866409975022,0.8637513252747003,0.6809510045288826,0.8606770833333334,0.5045375058251531,0.7144858229181098,0.585829885636052,0.8346669327120227,0.6041075008113657,0.8420758928571429
sds-5,single_sa,0.6062960106473895,0.6578407993814991,0.6296120507572776,0.8801379639022364,0.6846303168998844,0.8633742559523809,0.5083095311884003,0.6912766997718548,0.5743895338930097,0.7853560549636743,0.5919892123849755,0.8397507440476191
sds-51,single,0.5989689752743892,0.6987995197219175,0.6257484952459363,0.8707378231145493,0.6639279351105554,0.8500744047619048,0.5143973834343935,0.6874030895654484,0.5762662430752387,0.7961789116572301,0.5931071423563505,0.8390066964285714
sds-51,single_sa,0.588989763221722,0.7432342918482534,0.6400759513742875,0.8614721420918915,0.6615912475420488,0.8485863095238095,0.4686094818581122,0.7014386795253104,0.5529924698833283,0.7571298767801805,0.5793118166689558,0.8171502976190477
