seed,encoder,input,fusion,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
128,vit_b_16,ep-ms+prc-ms+s-ms,stacking,0.654695410197195,0.704632948395521,0.6734416719558141,0.9075035029080756,0.711082437163039,0.8848586309523809,0.5699810267478808,0.6732869065627133,0.6136411947518788,0.8436822372939063,0.6319515195436324,0.8752790178571429
256,vit_b_16,ep-ms+prc-ms+s-ms,stacking,0.6333328845899793,0.7491524243443577,0.6759295288513426,0.9013057839998369,0.7086625254469645,0.880859375,0.5458158123869118,0.7006497217013831,0.6098636324454476,0.8408211588136607,0.637698764292898,0.8637462797619048
42,vit_b_16,ep-ms+prc-ms+s-ms,cross_attention,0.6212458007453775,0.7217791707239896,0.6623101169865561,0.8988094750611958,0.7048403963927857,0.8821614583333334,0.5320892223049074,0.6731294563000597,0.5900678784557764,0.8384333579474973,0.6353877328112517,0.8669084821428571
90,vit_b_16,ep-ms+prc-ms+s-ms,cross_attention,0.6044626980866152,0.8097018126570461,0.6548252609992117,0.8984149048249096,0.7019555595221342,0.8598400297619048,0.502441257796301,0.6784946307280493,0.5712841577019548,0.8084273647282938,0.6135329020793997,0.8411458333333334
128,vit_b_16,ep-ms+prc-ms+s-ms,cross_attention,0.6428341770909284,0.7301954610624666,0.6758698732952445,0.9049967587518272,0.7273961305068567,0.8750930059523809,0.552248980744828,0.6860892052875359,0.5996782165527218,0.8175178431010879,0.6372903121474892,0.8598400297619048
256,vit_b_16,ep-ms+prc-ms+s-ms,cross_attention,0.6294696194396271,0.7497186210371468,0.6710725316833247,0.904098566180478,0.7002495096956691,0.8759300595238095,0.5344231575750985,0.6973109690786747,0.6007189253046066,0.8422102688192675,0.6247052796070055,0.8606770833333334
42,vit_b_16,ep-ms+prc-ms+s-ms,concat,0.6341524436312485,0.72789665773818,0.6699710820541551,0.9125056090082744,0.7156825567703937,0.8803013392857143,0.5677064709749036,0.685767805514336,0.613258625573002,0.8573399297959191,0.6527403525688096,0.8770461309523809
90,vit_b_16,ep-ms+prc-ms+s-ms,concat,0.6432955495111278,0.7264121263128359,0.679665045836753,0.9087220698858413,0.7176544632252033,0.8862537202380952,0.5201616267771723,0.672433706354177,0.5790795754972836,0.8153743838618116,0.6272207587571454,0.8590029761904762
128,vit_b_16,ep-ms+prc-ms+s-ms,concat,0.64305674724063,0.7578149570490457,0.6831500954315469,0.911136181833993,0.7358210396540175,0.8797433035714286,0.53195422684951,0.7168982830801742,0.606780134220355,0.8252096936220604,0.631086760727361,0.8624441964285714
256,vit_b_16,ep-ms+prc-ms+s-ms,concat,0.6336221993721972,0.7382804589253159,0.6782901829551654,0.9085991648009204,0.7140292592506989,0.8838355654761905,0.5394980034463089,0.7124267509666647,0.6087027444919725,0.8441162394897237,0.6465906097593014,0.8601190476190477
42,resnext50_32x4d,prc-ms,stacking,0.6211008618950064,0.6649299360175874,0.6310980435063366,0.8710216661014483,0.6865300077501407,0.8698846726190477,0.530769852172335,0.6778491754898897,0.5824534729011441,0.8265343446337513,0.6306704281967326,0.8544456845238095
90,resnext50_32x4d,prc-ms,stacking,0.62346059933983,0.6975611118766487,0.6515390616412997,0.8490960189054989,0.6868994138552283,0.8736979166666666,0.539323851271561,0.6987138116360896,0.603697512968071,0.8020643036319468,0.6316887746493919,0.8587239583333334
128,resnext50_32x4d,prc-ms,stacking,0.6620498982688524,0.6958863616867129,0.6584553632701526,0.8970512195821788,0.7095379738225545,0.8752790178571429,0.530600257751162,0.697432528966436,0.5942226472157905,0.7949428953699949,0.6245281319478057,0.8603050595238095
