encoder,input,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
vit_b_16,s-50,0.5928474634447394,0.7606683743597821,0.6510572156993006,0.8442545104542033,0.6715811582121741,0.8280319940476191,0.5027971572483689,0.6695277855937353,0.555801841591053,0.777095329145155,0.5611521659256792,0.8017113095238095
resnext50_32x4d,s-5,0.643111123667916,0.6891197939436511,0.6551594257306638,0.8754855204939951,0.6907863907190226,0.8803943452380952,0.5494967727401489,0.6986588654896119,0.5982727813615144,0.8091085606266374,0.635837956286988,0.8598400297619048
vit_b_16,s-5,0.5904264986137046,0.7662886776917256,0.6462544286701386,0.8674780838676265,0.6726343665879061,0.8550037202380952,0.5273757822602859,0.7436261367943903,0.6105137065063556,0.8153910872643039,0.6293687282577974,0.8445870535714286
resnext50_32x4d,sds-101,0.5753163647959031,0.6791082474512212,0.6108258786290083,0.8538662706876511,0.6557374451543554,0.8441220238095238,0.48121343896393,0.6608147449014353,0.5510365063957774,0.7246547479705238,0.5643885243655934,0.8280319940476191
vit_b_16,sds-101,0.5493333359027198,0.7119894071799251,0.6039255473447531,0.8008546498371486,0.6194824561550004,0.8088727678571429,0.4601128048206338,0.6939779997359009,0.5423244227876471,0.7335149133196852,0.5375524861732192,0.7919456845238095
resnext50_32x4d,sds-11,0.5871579682823805,0.6839044128858998,0.6248897307950838,0.8448889499584784,0.65580320217412,0.8540736607142857,0.4926866527515708,0.6916704698356932,0.5662750180900092,0.7655380574832421,0.5904860523983712,0.8334263392857143
vit_b_16,sds-11,0.5889214402871916,0.6916003682655951,0.6313068203253056,0.8431455000893894,0.647985605637417,0.8470982142857143,0.4972836400327217,0.6788577797080552,0.5676083190085738,0.7769034409424059,0.5863107070386927,0.8341703869047619
resnext50_32x4d,sds-201,0.5653920177656423,0.7035423226382541,0.6174559014086906,0.8484081313564403,0.6566251464585341,0.8383556547619048,0.4894644375868925,0.7243293603826222,0.5737165987123107,0.7465928726027252,0.5991479859186247,0.8171502976190477
vit_b_16,sds-201,0.4730091793352081,0.722815991292994,0.5519576171905923,0.7463580237737489,0.5427818051009631,0.7502790178571429,0.4345441320077216,0.7265432726476618,0.5270288838834151,0.7282167863701582,0.5105071910503682,0.7569754464285714
resnext50_32x4d,sds-21,0.556269176608092,0.6600873608524916,0.5995281566138457,0.8491996673849594,0.652266694432729,0.8434709821428571,0.4842310120754128,0.7317025753939325,0.5709366009289949,0.7666776608751439,0.5855530334560809,0.8266369047619048
vit_b_16,sds-21,0.5460514127748699,0.6894737140928158,0.6009324993249955,0.8277129817638967,0.6350451786983115,0.833984375,0.4818091405456243,0.6930070095958787,0.5617747533049381,0.7684518635694166,0.5729760804198499,0.8231956845238095
resnext50_32x4d,sds-51,0.5989689752743892,0.6987995197219175,0.6257484952459363,0.8707378231145493,0.6639279351105554,0.8500744047619048,0.5143973834343935,0.6874030895654484,0.5762662430752387,0.7961789116572301,0.5931071423563505,0.8390066964285714
vit_b_16,sds-51,0.5265240918363668,0.7228578408496238,0.5847658041454353,0.8179623143360016,0.6269095429870232,0.8064546130952381,0.4397451903331885,0.7040265586335097,0.5196236331421707,0.7384634742549637,0.5272770607209876,0.7734375
resnext50_32x4d,sds-5,0.5917367148766903,0.6845428631404857,0.6316866409975022,0.8637513252747003,0.6809510045288826,0.8606770833333334,0.5045375058251531,0.7144858229181098,0.585829885636052,0.8346669327120227,0.6041075008113657,0.8420758928571429
vit_b_16,sds-5,0.5610106305754449,0.7243029346445253,0.6088832552175424,0.8368887165875044,0.6492236305588169,0.8237537202380952,0.4959197533255789,0.7085756388367992,0.576358421031615,0.7810199375881227,0.5984448845480909,0.8253348214285714
