model,input,precision (id),precision (cd),recall (id),recall (cd),f1 (id),f1 (cd),f1 (delta),map (id),map (cd),map (delta),auroc (id),auroc (cd),accuracy (id),accuracy (cd)
resnet50,plc5,0.5147877078369142,0.4599656846403668,0.6910169826504641,0.7054693225199165,0.5803689657475465,0.5416999926944951,0.0386689730530513,0.6107098241838023,0.510983277003777,0.0997265471800252,0.8028860398118672,0.7341744890879107,0.8034784226190477,0.7606956845238095
resnet50,prc100,0.55416622997811,0.4353729214609402,0.7427983343851208,0.6828387758160356,0.6232406963452622,0.5157651810726944,0.1074755152725678,0.6310292089960473,0.5246677581929887,0.1063614508030585,0.8338143455152975,0.7157644385372377,0.8193824404761905,0.7811569940476191
resnet50,prc10,0.6053778964327823,0.4921471242575935,0.6950554028816184,0.7017536267804323,0.633120313866832,0.5599928455266726,0.0731274683401593,0.6910846108795733,0.6000254637126855,0.0910591471668877,0.8667642404308269,0.7899462316696503,0.8547247023809523,0.8289620535714286
resnet50,prc200,0.5528637499336957,0.4641227451540988,0.7811621122181194,0.6753710003971264,0.6128236468248038,0.527313954006097,0.0855096928187068,0.6198743349215968,0.514869472823295,0.1050048620983018,0.8230901988643807,0.7169909804269646,0.80078125,0.78125
resnet50,prc20,0.5914478129662549,0.4627784387592668,0.6912765666016308,0.6447500075014805,0.6215457378757281,0.5260492956259691,0.0954964422497589,0.6608468553638681,0.5479164698789998,0.1129303854848683,0.8585608373907965,0.758999547314879,0.8507254464285714,0.8132440476190477
resnet50,prc50,0.5616591517478956,0.4432547607377273,0.737188327165517,0.6682183896115887,0.6205914115930613,0.5154832972313621,0.1051081143616992,0.6341679906645137,0.5354894149188295,0.0986785757456841,0.8450688237283763,0.7565206401521216,0.8223586309523809,0.7872953869047619
resnet50,prc5,0.6028179741866858,0.4920139082120056,0.6991235801387509,0.7168689188458386,0.6402913687176872,0.5701903329879314,0.0701010357297557,0.6767216041322407,0.595437257271992,0.0812843468602486,0.8717429186720695,0.7625568001892306,0.8582589285714286,0.8295200892857143
resnet50,rgb,0.551195061713515,0.3112026084213871,0.6971341920045778,0.4367307598883207,0.60559621510333,0.3275209793002947,0.2780752358030352,0.6253789333178853,0.3510441259153933,0.274334807402492,0.8254467345925375,0.5351630010326581,0.8293340773809523,0.6989397321428571
resnet50,s100,0.5383317298646123,0.4556103148542785,0.7359945524561212,0.6825771133911235,0.6120930623046424,0.530967703544722,0.0811253587599204,0.6145353936209891,0.5301851089462023,0.0843502846747867,0.8285143882012014,0.7211139371451297,0.8137090773809523,0.7861793154761905
resnet50,s10,0.5745861664979629,0.4790302946059114,0.6861109052595608,0.6703039703191565,0.6235406937173841,0.5519868479756624,0.0715538457417216,0.6708936147958208,0.5785295578679112,0.0923640569279096,0.8662878506713195,0.8010380172479955,0.8539806547619048,0.8385416666666666
